sst,u10,hsig,time,latitude,longitude
271.46048,10.8117485,,2005-07-24 12:00:00,-65.1,-170.1
271.46048,-2.8407006,,2005-07-25 12:00:00,-65.1,-170.1
271.46072,8.853281,,2005-07-26 12:00:00,-65.1,-170.1
271.46048,1.3130101,,2005-07-27 12:00:00,-65.1,-170.1
271.48364,4.5027084,6.3537674,2005-07-28 12:00:00,-65.1,-170.1
271.48514,14.092097,5.077608,2005-07-29 12:00:00,-65.1,-170.1
271.49173,17.676872,5.5175223,2005-07-30 12:00:00,-65.1,-170.1
271.47903,11.227796,,2005-07-31 12:00:00,-65.1,-170.1
271.47098,-4.180171,,2005-08-01 12:00:00,-65.1,-170.1
271.49463,3.886417,2.6497335,2005-08-02 12:00:00,-65.1,-170.1
271.49805,12.645063,3.5698073,2005-08-03 12:00:00,-65.1,-170.1
271.49103,11.534927,3.8335333,2005-08-04 12:00:00,-65.1,-170.1
271.46338,6.1033077,,2005-08-05 12:00:00,-65.1,-170.1
271.47998,11.685786,2.6397185,2005-08-06 12:00:00,-65.1,-170.1
271.46213,6.2433434,,2005-08-07 12:00:00,-65.1,-170.1
271.4893,4.147546,2.329627,2005-08-08 12:00:00,-65.1,-170.1
271.5083,18.89322,5.634919,2005-08-09 12:00:00,-65.1,-170.1
271.5325,16.480143,5.9209003,2005-08-10 12:00:00,-65.1,-170.1
271.532,10.716362,5.0466356,2005-08-11 12:00:00,-65.1,-170.1
271.51785,12.839219,5.0303154,2005-08-12 12:00:00,-65.1,-170.1
271.51614,-6.0946665,1.7335544,2005-08-13 12:00:00,-65.1,-170.1
271.56107,1.7500292,2.5124922,2005-08-14 12:00:00,-65.1,-170.1
271.56662,11.296799,4.5206676,2005-08-15 12:00:00,-65.1,-170.1
271.57086,-12.624923,3.3741455,2005-08-16 12:00:00,-65.1,-170.1
271.57178,15.399096,5.4594727,2005-08-17 12:00:00,-65.1,-170.1
271.54172,9.337655,2.6656833,2005-08-18 12:00:00,-65.1,-170.1
271.54446,5.6960545,3.5024848,2005-08-19 12:00:00,-65.1,-170.1
271.48538,12.247958,3.7979248,2005-08-20 12:00:00,-65.1,-170.1
271.48538,5.51137,3.2918007,2005-08-21 12:00:00,-65.1,-170.1
271.4763,13.280297,3.0104558,2005-08-22 12:00:00,-65.1,-170.1
271.48148,-1.576322,2.6955426,2005-08-23 12:00:00,-65.1,-170.1
271.49805,10.612181,3.7979248,2005-08-24 12:00:00,-65.1,-170.1
271.49173,17.472569,5.86248,2005-08-25 12:00:00,-65.1,-170.1
271.46628,11.077613,3.096139,2005-08-26 12:00:00,-65.1,-170.1
271.46628,4.725277,3.856345,2005-08-27 12:00:00,-65.1,-170.1
271.47433,12.481351,4.189619,2005-08-28 12:00:00,-65.1,-170.1
271.46603,10.489735,,2005-08-29 12:00:00,-65.1,-170.1
271.46442,12.48338,2.7799275,2005-08-30 12:00:00,-65.1,-170.1
271.46292,13.699051,3.3003318,2005-08-31 12:00:00,-65.1,-170.1
271.45947,4.6853633,,2005-09-01 12:00:00,-65.1,-170.1
271.45947,4.4567065,,2005-09-02 12:00:00,-65.1,-170.1
271.45947,16.878603,,2005-09-03 12:00:00,-65.1,-170.1
271.45947,5.3212733,,2005-09-04 12:00:00,-65.1,-170.1
271.45947,4.673863,,2005-09-05 12:00:00,-65.1,-170.1
271.46048,13.000903,,2005-09-06 12:00:00,-65.1,-170.1
271.46048,1.8785642,,2005-09-07 12:00:00,-65.1,-170.1
271.46048,-0.8957628,,2005-09-08 12:00:00,-65.1,-170.1
271.45972,-4.591483,,2005-09-09 12:00:00,-65.1,-170.1
271.45993,-2.086403,,2005-09-10 12:00:00,-65.1,-170.1
271.46017,3.2478006,,2005-09-11 12:00:00,-65.1,-170.1
271.46048,-0.5040692,,2005-09-12 12:00:00,-65.1,-170.1
271.46017,13.147027,,2005-09-13 12:00:00,-65.1,-170.1
271.46072,5.560078,,2005-09-14 12:00:00,-65.1,-170.1
271.46072,2.5672414,,2005-09-15 12:00:00,-65.1,-170.1
271.46072,12.735038,,2005-09-16 12:00:00,-65.1,-170.1
271.46048,9.338331,,2005-09-17 12:00:00,-65.1,-170.1
271.46048,8.025921,,2005-09-18 12:00:00,-65.1,-170.1
271.46048,8.970315,,2005-09-19 12:00:00,-65.1,-170.1
271.45993,3.8248553,,2005-09-20 12:00:00,-65.1,-170.1
271.45993,5.481604,,2005-09-21 12:00:00,-65.1,-170.1
271.45993,8.153103,,2005-09-22 12:00:00,-65.1,-170.1
271.45972,6.5761814,,2005-09-23 12:00:00,-65.1,-170.1
271.45972,-3.5598202,,2005-09-24 12:00:00,-65.1,-170.1
271.45972,7.663317,,2005-09-25 12:00:00,-65.1,-170.1
271.45993,7.748556,,2005-09-26 12:00:00,-65.1,-170.1
271.46017,-1.0560933,,2005-09-27 12:00:00,-65.1,-170.1
271.45972,3.7220273,,2005-09-28 12:00:00,-65.1,-170.1
271.45993,5.2360344,,2005-09-29 12:00:00,-65.1,-170.1
271.45993,8.239695,,2005-09-30 12:00:00,-65.1,-170.1
271.46017,3.3086855,,2005-10-01 12:00:00,-65.1,-170.1
271.46017,8.940549,,2005-10-02 12:00:00,-65.1,-170.1
271.46017,10.351051,,2005-10-03 12:00:00,-65.1,-170.1
271.46017,8.80119,,2005-10-04 12:00:00,-65.1,-170.1
271.46017,3.5671086,,2005-10-05 12:00:00,-65.1,-170.1
271.46017,1.8731523,,2005-10-06 12:00:00,-65.1,-170.1
271.46017,5.025643,,2005-10-07 12:00:00,-65.1,-170.1
271.46017,2.2919059,,2005-10-08 12:00:00,-65.1,-170.1
271.46017,5.924035,,2005-10-09 12:00:00,-65.1,-170.1
271.46017,10.098717,,2005-10-10 12:00:00,-65.1,-170.1
271.46017,10.625034,,2005-10-11 12:00:00,-65.1,-170.1
271.46017,-2.133758,,2005-10-12 12:00:00,-65.1,-170.1
271.46072,-3.9603086,,2005-10-13 12:00:00,-65.1,-170.1
271.45993,12.397465,,2005-10-14 12:00:00,-65.1,-170.1
271.45993,9.284887,,2005-10-15 12:00:00,-65.1,-170.1
271.45993,0.4328835,,2005-10-16 12:00:00,-65.1,-170.1
271.45993,3.989921,,2005-10-17 12:00:00,-65.1,-170.1
271.46072,-4.159199,,2005-10-18 12:00:00,-65.1,-170.1
271.46017,0.41732395,,2005-10-19 12:00:00,-65.1,-170.1
271.46072,-6.3902965,,2005-10-20 12:00:00,-65.1,-170.1
271.46017,7.672788,,2005-10-21 12:00:00,-65.1,-170.1
271.46017,10.911194,,2005-10-22 12:00:00,-65.1,-170.1
271.46017,6.9766693,,2005-10-23 12:00:00,-65.1,-170.1
271.46017,9.0366125,,2005-10-24 12:00:00,-65.1,-170.1
271.46017,7.3873053,,2005-10-25 12:00:00,-65.1,-170.1
271.46017,9.046083,,2005-10-26 12:00:00,-65.1,-170.1
271.46017,-6.426828,,2005-10-27 12:00:00,-65.1,-170.1
271.46017,-3.9143062,,2005-10-28 12:00:00,-65.1,-170.1
271.46017,13.029992,,2005-10-29 12:00:00,-65.1,-170.1
271.46017,6.277845,,2005-10-30 12:00:00,-65.1,-170.1
271.46017,14.017682,,2005-10-31 12:00:00,-65.1,-170.1
271.45993,4.6758924,,2005-11-01 12:00:00,-65.1,-170.1
271.45993,2.699159,,2005-11-02 12:00:00,-65.1,-170.1
271.45993,8.609064,,2005-11-03 12:00:00,-65.1,-170.1
271.45993,8.877635,,2005-11-04 12:00:00,-65.1,-170.1
271.45993,3.8187666,,2005-11-05 12:00:00,-65.1,-170.1
271.45993,7.825677,,2005-11-06 12:00:00,-65.1,-170.1
271.45993,2.5875363,,2005-11-07 12:00:00,-65.1,-170.1
271.45993,5.142001,,2005-11-08 12:00:00,-65.1,-170.1
271.45993,-2.2744699,,2005-11-09 12:00:00,-65.1,-170.1
271.45993,7.1620307,,2005-11-10 12:00:00,-65.1,-170.1
271.45993,-2.7486968,,2005-11-11 12:00:00,-65.1,-170.1
271.45993,8.831633,,2005-11-12 12:00:00,-65.1,-170.1
